time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-27 00:00:00+00:00,16,9,2.0,1.0
2025-09-28 00:00:00+00:00,6,6,5.0,2.0
2025-09-29 00:00:00+00:00,8,8,7.0,4.0
2025-09-30 00:00:00+00:00,14,14,7.0,1.0
2025-10-01 00:00:00+00:00,10,7,1.0,1.0
2025-10-02 00:00:00+00:00,8,8,2.0,1.0
2025-10-03 00:00:00+00:00,4,4,7.0,4.0
2025-10-04 00:00:00+00:00,33,5,7.0,4.0
2025-10-05 00:00:00+00:00,4,4,1.0,1.0
2025-10-06 00:00:00+00:00,6,6,37.0,3.0
2025-10-07 00:00:00+00:00,3,3,11.0,4.0
2025-10-08 00:00:00+00:00,47,11,34.0,4.0
2025-10-09 00:00:00+00:00,5,4,3.0,3.0
2025-10-10 00:00:00+00:00,3,3,,
