time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-05 00:00:00+00:00,95,48,133,12
2023-04-06 00:00:00+00:00,68,52,10,7
2023-04-07 00:00:00+00:00,22,20,5,4
2023-04-08 00:00:00+00:00,22,6,5,2
2023-04-09 00:00:00+00:00,5,3,41,4
2023-04-10 00:00:00+00:00,11,3,68,15
2023-04-11 00:00:00+00:00,21,8,106,21
2023-04-12 00:00:00+00:00,53,8,197,19
2023-04-13 00:00:00+00:00,25,23,55,35
2023-04-14 00:00:00+00:00,80,45,102,10
2023-04-15 00:00:00+00:00,86,47,7,3
2023-04-16 00:00:00+00:00,63,41,19,6
2023-04-17 00:00:00+00:00,76,53,57,7
2023-04-18 00:00:00+00:00,71,46,74,10
