time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-18 00:00:00+00:00,8,5,28,7
2024-03-19 00:00:00+00:00,61,10,208,11
2024-03-20 00:00:00+00:00,15,5,26,9
2024-03-21 00:00:00+00:00,7,6,16,7
2024-03-22 00:00:00+00:00,4,4,21,7
2024-03-23 00:00:00+00:00,12,6,19,3
2024-03-24 00:00:00+00:00,4,3,14,5
2024-03-25 00:00:00+00:00,24,11,73,7
2024-03-26 00:00:00+00:00,7,3,106,12
2024-03-27 00:00:00+00:00,21,6,181,14
2024-03-28 00:00:00+00:00,3,3,38,10
2024-03-29 00:00:00+00:00,3,3,10,4
2024-03-30 00:00:00+00:00,13,7,1,1
2024-03-31 00:00:00+00:00,9,5,44,4
