time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-07 00:00:00+00:00,2,2,47,3
2024-03-08 00:00:00+00:00,7,6,47,7
2024-03-09 00:00:00+00:00,3,3,13,2
2024-03-10 00:00:00+00:00,3,3,3,1
2024-03-11 00:00:00+00:00,5,5,23,3
2024-03-12 00:00:00+00:00,43,14,101,9
2024-03-13 00:00:00+00:00,2,2,50,6
2024-03-14 00:00:00+00:00,1,1,24,6
2024-03-15 00:00:00+00:00,5,3,10,3
2024-03-16 00:00:00+00:00,3,2,57,5
2024-03-17 00:00:00+00:00,1,1,7,2
2024-03-18 00:00:00+00:00,16,5,65,8
2024-03-19 00:00:00+00:00,38,16,73,12
2024-03-20 00:00:00+00:00,20,8,66,7
