time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-28 00:00:00+00:00,3,3,50.0,3.0
2024-01-29 00:00:00+00:00,16,5,49.0,8.0
2024-01-30 00:00:00+00:00,30,8,91.0,7.0
2024-01-31 00:00:00+00:00,13,7,30.0,8.0
2024-02-01 00:00:00+00:00,6,3,10.0,4.0
2024-02-02 00:00:00+00:00,22,2,77.0,6.0
2024-02-03 00:00:00+00:00,4,4,19.0,3.0
2024-02-04 00:00:00+00:00,2,2,,
2024-02-05 00:00:00+00:00,2,2,42.0,11.0
2024-02-06 00:00:00+00:00,15,6,58.0,10.0
2024-02-07 00:00:00+00:00,2,2,2.0,1.0
2024-02-08 00:00:00+00:00,1,1,12.0,4.0
2024-02-09 00:00:00+00:00,3,3,39.0,3.0
2024-02-10 00:00:00+00:00,4,4,2.0,1.0
