time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-16 00:00:00+00:00,46,9,0,0
2026-05-17 00:00:00+00:00,3,2,3,2
2026-05-18 00:00:00+00:00,40,4,0,0
2026-05-19 00:00:00+00:00,3,2,0,0
2026-05-20 00:00:00+00:00,4,2,0,0
2026-05-21 00:00:00+00:00,5,3,1,1
2026-05-22 00:00:00+00:00,2,1,1,1
2026-05-23 00:00:00+00:00,17,16,0,0
2026-05-24 00:00:00+00:00,4,2,4,2
2026-05-25 00:00:00+00:00,4,3,1,1
2026-05-26 00:00:00+00:00,23,9,0,0
2026-05-27 00:00:00+00:00,19,11,0,0
2026-05-28 00:00:00+00:00,4,2,2,2
2026-05-29 00:00:00+00:00,5,4,16,1
